*******************************************************************************
JPL/HORIZONS               3753 Cruithne (1986 TO)         2023-May-05 15:13:21
Rec #:    3753 (+COV) Soln.date: 2023-Mar-01_06:10:23   # obs: 1216 (1973-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994
   A= .9976938311662474    MA= 249.5553600271496   ADIST= 1.511369196493981
   PER= .99656             N= .9890269900000001    ANGMOM= .014729875
   DAN= .53459             DDN= 1.16671            L= 168.3137556
   B= 13.566979            MOID= .0710535          TP= 2014-Dec-20.6699959380
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099
   H= 15.5                 G= .150                 B-V= n.a.
                           ALBEDO= .365            STYP= Q
 
ASTEROID comments: 
1: soln ref.= JPL#240, OCC=0
2: source=ORB
*******************************************************************************

  
  

*******************************************************************************
Ephemeris / WWW_USER Fri May  5 15:13:21 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 3753 Cruithne (1986 TO)         {source: JPL#240}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1600-May-16 09:03:00.0000 TDB
Stop  time      : A.D. 2500-Jun-11 17:20:05.0000 TDB
Step-size       : 1 calendar years
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230504.p230727
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-04. PREDICTS-> 2023-JUL-26
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645        
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938       
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.215347990905840E+00  Y= 5.153520927692684E-01  Z=-2.481738801145509E-01
  VX=-7.990656955364673E-03 VY= 8.039467650712289E-03 VZ= 3.939584837771865E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099             
   H= 15.5                 G= .150                 B-V= n.a.                   
                           ALBEDO= .365            STYP= Q                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2305583.877083333, A.D. 1600-May-16 09:03:00.0000,  1.763930631477557E+08,  2.387017877465939E+08, -5.282629537204120E+07,
2305948.877083333, A.D. 1601-May-16 09:03:00.0000,  1.795745771739051E+08,  2.376312325036705E+08, -5.339638740481149E+07,
2306313.877083333, A.D. 1602-May-16 09:03:00.0000,  1.826749216307976E+08,  2.365518327853741E+08, -5.393513267121708E+07,
2306678.877083333, A.D. 1603-May-16 09:03:00.0000,  1.856910612184049E+08,  2.354277858033720E+08, -5.445101433773129E+07,
2307044.877083333, A.D. 1604-May-16 09:03:00.0000,  1.842700821401713E+08,  2.362848616233772E+08, -5.449354506635221E+07,
2307409.877083333, A.D. 1605-May-16 09:03:00.0000,  1.872419735939116E+08,  2.351504690925812E+08, -5.499063494805505E+07,
2307774.877083333, A.D. 1606-May-16 09:03:00.0000,  1.901585159733350E+08,  2.339725950792557E+08, -5.546925242959754E+07,
2308139.877083333, A.D. 1607-May-16 09:03:00.0000,  1.930420114179697E+08,  2.327995566138330E+08, -5.592670860432909E+07,
2308505.877083333, A.D. 1608-May-16 09:03:00.0000,  1.914973397748858E+08,  2.337325274207145E+08, -5.594571037398624E+07,
2308870.877083333, A.D. 1609-May-16 09:03:00.0000,  1.942733238623744E+08,  2.325392663468871E+08, -5.637514073341750E+07,
2309235.877083333, A.D. 1610-May-16 09:03:00.0000,  1.970279504360775E+08,  2.313228364736353E+08, -5.679253826187635E+07,
2309600.877083333, A.D. 1611-May-16 09:03:00.0000,  1.997251298226849E+08,  2.300822395365019E+08, -5.719466515421727E+07,
2309966.877083333, A.D. 1612-May-16 09:03:00.0000,  1.981629473618869E+08,  2.309913695356347E+08, -5.720876231209094E+07,
2310331.877083333, A.D. 1613-May-16 09:03:00.0000,  2.007971505380360E+08,  2.297910253510987E+08, -5.759118695942477E+07,
2310696.877083333, A.D. 1614-May-16 09:03:00.0000,  2.033827301264428E+08,  2.285509924425207E+08, -5.795806974971940E+07,
2311061.877083333, A.D. 1615-May-16 09:03:00.0000,  2.059328417285542E+08,  2.272934028543665E+08, -5.831042394137711E+07,
2311427.877083333, A.D. 1616-May-16 09:03:00.0000,  2.042628231146763E+08,  2.282500477608397E+08, -5.830465895619563E+07,
2311792.877083333, A.D. 1617-May-16 09:03:00.0000,  2.067688125810724E+08,  2.269708289218890E+08, -5.864498065268851E+07,
2312157.877083333, A.D. 1618-May-16 09:03:00.0000,  2.092769029413325E+08,  2.256825176685826E+08, -5.897425051334993E+07,
2312522.877083333, A.D. 1619-May-16 09:03:00.0000,  2.117078268992973E+08,  2.244129657667335E+08, -5.928833238228504E+07,
2312888.877083333, A.D. 1620-May-16 09:03:00.0000,  2.100016981522517E+08,  2.254012933920693E+08, -5.927165108604267E+07,
2313253.877083333, A.D. 1621-May-16 09:03:00.0000,  2.123656785679285E+08,  2.241305712687040E+08, -5.956420997714500E+07,
