*******************************************************************************
JPL/HORIZONS               3753 Cruithne (1986 TO)         2023-May-05 15:27:55
Rec #:    3753 (+COV) Soln.date: 2023-Mar-01_06:10:23   # obs: 1216 (1973-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994
   A= .9976938311662474    MA= 249.5553600271496   ADIST= 1.511369196493981
   PER= .99656             N= .9890269900000001    ANGMOM= .014729875
   DAN= .53459             DDN= 1.16671            L= 168.3137556
   B= 13.566979            MOID= .0710535          TP= 2014-Dec-20.6699959380
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099
   H= 15.5                 G= .150                 B-V= n.a.
                           ALBEDO= .365            STYP= Q
 
ASTEROID comments: 
1: soln ref.= JPL#240, OCC=0
2: source=ORB
*******************************************************************************

  

*******************************************************************************
Ephemeris / WWW_USER Fri May  5 15:27:55 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 3753 Cruithne (1986 TO)         {source: JPL#240}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2007-Sep-16 00:00:00.0000 TDB
Stop  time      : A.D. 2008-Aug-11 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230504.p230727
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-04. PREDICTS-> 2023-JUL-26
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645        
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938       
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.215347990905840E+00  Y= 5.153520927692684E-01  Z=-2.481738801145509E-01
  VX=-7.990656955364673E-03 VY= 8.039467650712289E-03 VZ= 3.939584837771865E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099             
   H= 15.5                 G= .150                 B-V= n.a.                   
                           ALBEDO= .365            STYP= Q                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454359.500000000, A.D. 2007-Sep-16 00:00:00.0000,  2.380874087233105E+07,  8.422653492422062E+07, -6.409045207847097E+07,
2454360.500000000, A.D. 2007-Sep-17 00:00:00.0000,  2.218144109460029E+07,  8.296089505159162E+07, -6.396780083688327E+07,
2454361.500000000, A.D. 2007-Sep-18 00:00:00.0000,  2.057479897396472E+07,  8.168169305184768E+07, -6.383655640535116E+07,
2454362.500000000, A.D. 2007-Sep-19 00:00:00.0000,  1.898876973798829E+07,  8.038940710111697E+07, -6.369662617297143E+07,
2454363.500000000, A.D. 2007-Sep-20 00:00:00.0000,  1.742329020013791E+07,  7.908450396737197E+07, -6.354791651413935E+07,
2454364.500000000, A.D. 2007-Sep-21 00:00:00.0000,  1.587827929108822E+07,  7.776743748411584E+07, -6.339033281228805E+07,
2454365.500000000, A.D. 2007-Sep-22 00:00:00.0000,  1.435363886759818E+07,  7.643864663569137E+07, -6.322377950395826E+07,
2454366.500000000, A.D. 2007-Sep-23 00:00:00.0000,  1.284925514887664E+07,  7.509855330286276E+07, -6.304816012634351E+07,
2454367.500000000, A.D. 2007-Sep-24 00:00:00.0000,  1.136500116514120E+07,  7.374755994376825E+07, -6.286337733114903E+07,
2454368.500000000, A.D. 2007-Sep-25 00:00:00.0000,  9.900740491544098E+06,  7.238604778658818E+07, -6.266933280636397E+07,
2454369.500000000, A.D. 2007-Sep-26 00:00:00.0000,  8.456332184752762E+06,  7.101437638209441E+07, -6.246592703772649E+07,
2454370.500000000, A.D. 2007-Sep-27 00:00:00.0000,  7.031636231905371E+06,  6.963288538576402E+07, -6.225305886208406E+07,
2454371.500000000, A.D. 2007-Sep-28 00:00:00.0000,  5.626518183685839E+06,  6.824189897187543E+07, -6.203062482747842E+07,
2454372.500000000, A.D. 2007-Sep-29 00:00:00.0000,  4.240851424738199E+06,  6.684173233029984E+07, -6.179851846279857E+07,
2454373.500000000, A.D. 2007-Sep-30 00:00:00.0000,  2.874516098138243E+06,  6.543269871035566E+07, -6.155662962216914E+07,
2454374.500000000, A.D. 2007-Oct-01 00:00:00.0000,  1.527394879793197E+06,  6.401511512400086E+07, -6.130484405571747E+07,
2454375.500000000, A.D. 2007-Oct-02 00:00:00.0000,  1.993668911689818E+05,  6.258930538860190E+07, -6.104304327062099E+07,
2454376.500000000, A.D. 2007-Oct-03 00:00:00.0000, -1.109698598514736E+06,  6.115560027282035E+07, -6.077110464192614E+07,
2454377.500000000, A.D. 2007-Oct-04 00:00:00.0000, -2.399947439360231E+06,  5.971433540990660E+07, -6.048890167181502E+07,
2454378.500000000, A.D. 2007-Oct-05 00:00:00.0000, -3.671544326309413E+06,  5.826584797422788E+07, -6.019630429477791E+07,
2454379.500000000, A.D. 2007-Oct-06 00:00:00.0000, -4.924675063744813E+06,  5.681047296252877E+07, -5.989317916073169E+07,
2454380.500000000, A.D. 2007-Oct-07 00:00:00.0000, -6.159547725021273E+06,  5.534853957377426E+07, -5.957938986742318E+07,
