*******************************************************************************
JPL/HORIZONS               3753 Cruithne (1986 TO)         2023-May-05 16:47:32
Rec #:    3753 (+COV) Soln.date: 2023-Mar-01_06:10:23   # obs: 1216 (1973-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994
   A= .9976938311662474    MA= 249.5553600271496   ADIST= 1.511369196493981
   PER= .99656             N= .9890269900000001    ANGMOM= .014729875
   DAN= .53459             DDN= 1.16671            L= 168.3137556
   B= 13.566979            MOID= .0710535          TP= 2014-Dec-20.6699959380
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099
   H= 15.5                 G= .150                 B-V= n.a.
                           ALBEDO= .365            STYP= Q
 
ASTEROID comments: 
1: soln ref.= JPL#240, OCC=0
2: source=ORB
*******************************************************************************

  
  

*******************************************************************************
Ephemeris / WWW_USER Fri May  5 16:47:32 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 3753 Cruithne (1986 TO)         {source: JPL#240}
Center body name: Earth (399)                     {source: DE441}
Center-site name: (user defined site below)
*******************************************************************************
Start time      : A.D. 2007-Sep-01 00:00:00.0000 TDB
Stop  time      : A.D. 2008-Sep-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 286.0058, 40.7517, -2.02709E-12 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 286.0058, 4838.6361, 4141.57364 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230504.p230727
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-04. PREDICTS-> 2023-JUL-26
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645        
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938       
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.215347990905840E+00  Y= 5.153520927692684E-01  Z=-2.481738801145509E-01
  VX=-7.990656955364673E-03 VY= 8.039467650712289E-03 VZ= 3.939584837771865E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099             
   H= 15.5                 G= .150                 B-V= n.a.                   
                           ALBEDO= .365            STYP= Q                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454344.500000000, A.D. 2007-Sep-01 00:00:00.0000,  5.066442929661116E+07,  1.012432004223494E+08, -6.496438004902812E+07,
2454345.500000000, A.D. 2007-Sep-02 00:00:00.0000,  4.873603963944384E+07,  1.002414348492709E+08, -6.496030387603365E+07,
2454346.500000000, A.D. 2007-Sep-03 00:00:00.0000,  4.682648474311548E+07,  9.921869529328112E+07, -6.494886781326176E+07,
2454347.500000000, A.D. 2007-Sep-04 00:00:00.0000,  4.493600565085042E+07,  9.817541206096457E+07, -6.493000376918444E+07,
2454348.500000000, A.D. 2007-Sep-05 00:00:00.0000,  4.306483819094166E+07,  9.711203238234152E+07, -6.490364081203151E+07,
2454349.500000000, A.D. 2007-Sep-06 00:00:00.0000,  4.121320815015426E+07,  9.602902040240474E+07, -6.486970528482334E+07,
2454350.500000000, A.D. 2007-Sep-07 00:00:00.0000,  3.938132709797177E+07,  9.492685592363180E+07, -6.482812100218761E+07,
2454351.500000000, A.D. 2007-Sep-08 00:00:00.0000,  3.756938900764960E+07,  9.380603234518152E+07, -6.477880948563012E+07,
2454352.500000000, A.D. 2007-Sep-09 00:00:00.0000,  3.577756765986863E+07,  9.266705411934635E+07, -6.472169021031288E+07,
2454353.500000000, A.D. 2007-Sep-10 00:00:00.0000,  3.400601477474058E+07,  9.151043393125118E+07, -6.465668084763977E+07,
2454354.500000000, A.D. 2007-Sep-11 00:00:00.0000,  3.225485882999116E+07,  9.033668975146835E+07, -6.458369749228816E+07,
2454355.500000000, A.D. 2007-Sep-12 00:00:00.0000,  3.052420452902976E+07,  8.914634190398724E+07, -6.450265486274000E+07,
2454356.500000000, A.D. 2007-Sep-13 00:00:00.0000,  2.881413285718682E+07,  8.793991029841578E+07, -6.441346646477048E+07,
2454357.500000000, A.D. 2007-Sep-14 00:00:00.0000,  2.712470161498001E+07,  8.671791196212626E+07, -6.431604471027923E+07,
2454358.500000000, A.D. 2007-Sep-15 00:00:00.0000,  2.545594626957527E+07,  8.548085896103179E+07, -6.421030098964085E+07,
2454359.500000000, A.D. 2007-Sep-16 00:00:00.0000,  2.380788094354141E+07,  8.422925672447157E+07, -6.409614570274307E+07,
2454360.500000000, A.D. 2007-Sep-17 00:00:00.0000,  2.218049937615582E+07,  8.296360271027030E+07, -6.397348826005481E+07,
2454361.500000000, A.D. 2007-Sep-18 00:00:00.0000,  2.057377574323887E+07,  8.168438528007914E+07, -6.384223706882586E+07,
2454362.500000000, A.D. 2007-Sep-19 00:00:00.0000,  1.898766529652327E+07,  8.039208261441524E+07, -6.370229952023052E+07,
2454363.500000000, A.D. 2007-Sep-20 00:00:00.0000,  1.742210487362781E+07,  7.908716148606342E+07, -6.355358199090217E+07,
2454364.500000000, A.D. 2007-Sep-21 00:00:00.0000,  1.587701342931193E+07,  7.777007573377040E+07, -6.339598986666331E+07,
2454365.500000000, A.D. 2007-Sep-22 00:00:00.0000,  1.435229284435657E+07,  7.644126434758107E+07, -6.322942758658656E+07,
