*******************************************************************************
JPL/HORIZONS               3753 Cruithne (1986 TO)         2023-May-07 09:02:36
Rec #:    3753 (+COV) Soln.date: 2023-Mar-01_06:10:23   # obs: 1216 (1973-2022)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994
   A= .9976938311662474    MA= 249.5553600271496   ADIST= 1.511369196493981
   PER= .99656             N= .9890269900000001    ANGMOM= .014729875
   DAN= .53459             DDN= 1.16671            L= 168.3137556
   B= 13.566979            MOID= .0710535          TP= 2014-Dec-20.6699959380
 
Asteroid physical parameters (km, seconds, rotational period in hours):
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099
   H= 15.5                 G= .150                 B-V= n.a.
                           ALBEDO= .365            STYP= Q
 
ASTEROID comments: 
1: soln ref.= JPL#240, OCC=0
2: source=ORB
*******************************************************************************

  
  

*******************************************************************************
Ephemeris / WWW_USER Sun May  7 09:02:36 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 3753 Cruithne (1986 TO)         {source: JPL#240}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2007-Sep-01 00:00:00.0000 TDB
Stop  time      : A.D. 2008-Sep-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
EOP file        : eop.230504.p230727
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-MAY-04. PREDICTS-> 2023-JUL-26
Reference frame : ICRF
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2456900.5 ! 2014-Aug-31.00 (TDB)         Residual RMS= .35645        
   EC= .5148627256994029   QR= .4840184658385133   TP= 2457012.169995938       
   OM= 126.2462939076055   W=  43.80978547847901   IN= 19.80747881540994       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X= 1.215347990905840E+00  Y= 5.153520927692684E-01  Z=-2.481738801145509E-01
  VX=-7.990656955364673E-03 VY= 8.039467650712289E-03 VZ= 3.939584837771865E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= 1.0355             ROTPER= 27.3099             
   H= 15.5                 G= .150                 B-V= n.a.                   
                           ALBEDO= .365            STYP= Q                     
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2454344.500000000, A.D. 2007-Sep-01 00:00:00.0000,  5.066404564483914E+07,  1.187253436566409E+08, -1.932727896996605E+07,
2454345.500000000, A.D. 2007-Sep-02 00:00:00.0000,  4.873573900986660E+07,  1.178046143636375E+08, -1.972201867883698E+07,
2454346.500000000, A.D. 2007-Sep-03 00:00:00.0000,  4.682626722624952E+07,  1.168617156504427E+08, -2.011834879229281E+07,
2454347.500000000, A.D. 2007-Sep-04 00:00:00.0000,  4.493587131253213E+07,  1.158970152320151E+08, -2.051603567111271E+07,
2454348.500000000, A.D. 2007-Sep-05 00:00:00.0000,  4.306478707217872E+07,  1.149108952199516E+08, -2.091483633856374E+07,
2454349.500000000, A.D. 2007-Sep-06 00:00:00.0000,  4.121324026704746E+07,  1.139037521604534E+08, -2.131449858932690E+07,
2454350.500000000, A.D. 2007-Sep-07 00:00:00.0000,  3.938144244172144E+07,  1.128759959588890E+08, -2.171476167027336E+07,
2454351.500000000, A.D. 2007-Sep-08 00:00:00.0000,  3.756958754462808E+07,  1.118280480826731E+08, -2.211535731601384E+07,
2454352.500000000, A.D. 2007-Sep-09 00:00:00.0000,  3.577784933173800E+07,  1.107603393258023E+08, -2.251601098705035E+07,
2454353.500000000, A.D. 2007-Sep-10 00:00:00.0000,  3.400637949858481E+07,  1.096733073178213E+08, -2.291644321415111E+07,
2454354.500000000, A.D. 2007-Sep-11 00:00:00.0000,  3.225530649842933E+07,  1.085673939100074E+08, -2.331637097900192E+07,
2454355.500000000, A.D. 2007-Sep-12 00:00:00.0000,  3.052473501029322E+07,  1.074430425650826E+08, -2.371550906445171E+07,
2454356.500000000, A.D. 2007-Sep-13 00:00:00.0000,  2.881474599516186E+07,  1.063006958828529E+08, -2.411357130546275E+07,
2454357.500000000, A.D. 2007-Sep-14 00:00:00.0000,  2.712539722928354E+07,  1.051407933832562E+08, -2.451027167980759E+07,
2454358.500000000, A.D. 2007-Sep-15 00:00:00.0000,  2.545672415556842E+07,  1.039637696274751E+08, -2.490532520152809E+07,
2454359.500000000, A.D. 2007-Sep-16 00:00:00.0000,  2.380874087233123E+07,  1.027700526933807E+08, -2.529844861574507E+07,
2454360.500000000, A.D. 2007-Sep-17 00:00:00.0000,  2.218144109460050E+07,  1.015600629511538E+08, -2.568936093066623E+07,
2454361.500000000, A.D. 2007-Sep-18 00:00:00.0000,  2.057479897396490E+07,  1.003342120259190E+08, -2.607778385230961E+07,
2454362.500000000, A.D. 2007-Sep-19 00:00:00.0000,  1.898876973798850E+07,  9.909290179719463E+07, -2.646344220429248E+07,
2454363.500000000, A.D. 2007-Sep-20 00:00:00.0000,  1.742329020013809E+07,  9.783652327409591E+07, -2.684606441716533E+07,
2454364.500000000, A.D. 2007-Sep-21 00:00:00.0000,  1.587827929108849E+07,  9.656545520441224E+07, -2.722538315732519E+07,
2454365.500000000, A.D. 2007-Sep-22 00:00:00.0000,  1.435363886759847E+07,  9.528006233544260E+07, -2.760113612906896E+07,
